user_id,n_features,max_weight,mean_weight
186410,20,0.3235,0.2179
186436,53,0.2607,0.1297
186529,12,0.4306,0.2771
186729,167,0.2351,0.0734
186865,52,0.2847,0.1321
186869,64,0.4214,0.1111
187191,16,0.3586,0.2431
187358,8,0.5218,0.334
187502,1,1.0,1.0
187588,21,0.3156,0.2063
187770,40,0.3336,0.147
187863,2,0.9229,0.654
188394,47,0.2118,0.1403
188437,21,0.517,0.1991
188560,38,0.2981,0.1526
188702,43,0.3238,0.1446
188789,42,0.2552,0.146
188815,19,0.3147,0.2204
188866,8,0.5462,0.3309
188924,34,0.3501,0.1634
188999,20,0.3587,0.2122
189077,1,1.0,1.0
189475,10,0.4266,0.3036
189523,2,0.776,0.7034
189660,8,0.5905,0.3315
189839,9,0.5322,0.3101
189878,28,0.3159,0.1801
189911,36,0.2676,0.1588
189978,25,0.3999,0.191
190041,19,0.3176,0.2196
190371,69,0.3763,0.1088
190622,16,0.3403,0.2429
190940,33,0.2653,0.1692
191754,1,1.0,1.0
191837,9,0.5907,0.3108
191989,40,0.2375,0.1519
192024,154,0.2156,0.0766
192074,35,0.2516,0.1622
192158,12,0.4986,0.2659
192239,19,0.3545,0.2195
192406,30,0.3706,0.1723
192538,88,0.3794,0.0955
192605,9,0.4669,0.3211
192829,31,0.2776,0.1709
192842,59,0.39,0.1127
192847,37,0.2276,0.1587
193148,41,0.3873,0.1442
193316,57,0.3933,0.1201
193350,52,0.232,0.1317
193493,20,0.7462,0.1675
193561,8,0.4638,0.341
193733,212,0.5257,0.0536
194076,41,0.2081,0.1513
194080,26,0.3859,0.182
194776,8,0.4728,0.3431
194958,10,0.4227,0.3068
195012,18,0.3172,0.2271
195096,117,0.4218,0.0747
195101,20,0.3644,0.2109
195302,42,0.2869,0.1452
195518,1,1.0,1.0
195519,49,0.5128,0.1292
195649,5,0.5448,0.4393
195822,18,0.3892,0.2227
196550,50,0.3398,0.1276
196648,11,0.7322,0.2521
197031,125,0.5816,0.0689
197062,15,0.383,0.2462
197123,24,0.3029,0.1924
197355,22,0.3072,0.2072
197393,21,0.2859,0.2152
197411,14,0.3778,0.2541
197523,55,0.4792,0.1124
197706,21,0.4153,0.2085
197715,22,0.3793,0.2042
197724,44,0.2666,0.1454
197735,16,0.3078,0.2448
197891,34,0.2759,0.1655
197958,14,0.3697,0.2594
198170,50,0.2505,0.135
198209,48,0.3947,0.1325
198231,17,0.3578,0.2324
198277,7,0.4823,0.3675
198344,30,0.3353,0.1738
198941,23,0.444,0.196
198944,9,0.4482,0.3247
199011,46,0.3815,0.1357
199051,17,0.332,0.2367
199146,16,0.4136,0.2392
199247,36,0.3972,0.155
199282,50,0.5166,0.1151
199501,37,0.3103,0.1556
199598,100,0.6622,0.0729
199743,24,0.3144,0.1967
199748,25,0.3076,0.1876
